# wl command inventory — ASUS GT-AC5300, firmware 3.0.0.4.386_51582
# Regenerate with scripts/wl-inventory.sh. See docs/10-wl-commands.md for the tier model.
#
# A = bare call reads, safe to sweep      B = bare call acts, exclude from sweeps
# C = transmits or needs arguments        D = persistent/regulatory/calibration, do not touch
#
command	tier	help
pfnset	A	pfnset syntax is: pfnset [scanfrq xxxxx(30 sec)] [netimeout xxxx(60 sec)][slowfrq xxxx(180 sec)
pfnsuspend	A	Suspend/resume pno scan
phy_afeoverride	D	g/set AFE override
phy_antsel	A	get/set antenna configuration
phy_dyn_switch_th	A	Set wighting number for dynamic switch:
phy_force_crsmin	A	Auto crsmin:
phy_forceimpbf	A	force the beamformer into implicit TXBF mode and ready to construct steering matrix
phy_forcesteer	A	force the beamformer to apply steering matrix when TXBF is turned on
phy_read_estpwrlut	D	Read EstPwr LUT: wl phy_read_estpwrlut core
phy_rssi_ant	A	Get RSSI per antenna (only gives RSSI of current antenna for SISO PHY)
phy_rssi_gain_delta_2g	A	usage: phy_rssi_gain_delta_2g [val0 val1 ....]
phy_rssi_gain_delta_2gb0	A	usage: phy_rssi_gain_delta_2gb0 [val0 val1 ....]
phy_rssi_gain_delta_2gb1	A	usage: phy_rssi_gain_delta_2gb1 [val0 val1 ....]
phy_rssi_gain_delta_2gb2	A	usage: phy_rssi_gain_delta_2gb2 [val0 val1 ....]
phy_rssi_gain_delta_2gb3	A	usage: phy_rssi_gain_delta_2gb3 [val0 val1 ....]
phy_rssi_gain_delta_2gb4	A	usage: phy_rssi_gain_delta_2gb4 [val0 val1 ....]
phy_rssi_gain_delta_5gh	A	usage: phy_rssi_gain_delta_5gh [val0 val1 ....]
phy_rssi_gain_delta_5gl	A	usage: phy_rssi_gain_delta_5gl [val0 val1 ....]
phy_rssi_gain_delta_5gml	A	usage: phy_rssi_gain_delta_5gml [val0 val1 ....]
phy_rssi_gain_delta_5gmu	A	usage: phy_rssi_gain_delta_5gmu [val0 val1 ....]
phy_rssiant	A	wl phy_rssiant antindex(0-3)
phy_rxgainerr_2g	A	usage: phy_rxgainerr_2g [val0 val1 ....]
phy_rxgainerr_5gh	A	usage: phy_rxgainerr_5gmu [val0 val1 ....]
phy_rxgainerr_5gl	A	usage: phy_rxgainerr_5gl [val0 val1 ....]
phy_rxgainerr_5gm	A	usage: phy_rxgainerr_5gml [val0 val1 ....]
phy_rxgainerr_5gu	A	usage: phy_rxgainerr_5gh [val0 val1 ....]
phy_rxiqest	A	Get phy RX IQ noise in dBm:
phy_setrptbl	D	populate the reciprocity compensation table based on SROM cal content
phy_test_idletssi	D	get idletssi for the given core; wl phy_test_idletssi corenum
phy_test_tssi	D	wl phy_test_tssi val
phy_test_tssi_offs	D	wl phy_test_tssi_offs val
phy_txiqcc	D	usage: phy_txiqcc [a b]
phy_txlocc	D	usage: phy_txlocc [di dq ei eq fi fq]
phy_txpwrindex	A	usage: (set) phy_txpwrindex core0_idx core1_idx core2_idx core3_idx (get) phy_txpwrindex,
phy_vcore	D	get virtual core related capabilities
phylist	A	
phymsglevel	A	set phy debugging message bitvector
phyreg	A	offset [ value ] [ band ]
phytable	D	usage: wl phytable table_id offset width_of_table_element [table_element]
phytype	A	
pkt_filter_add	C	Install a packet filter.
pkt_filter_clear_stats	B	Clear packet filter statistic counter values.
pkt_filter_delete	A	Uninstall a packet filter.
pkt_filter_enable	A	Enable/disable a packet filter.
pkt_filter_list	A	List installed packet filters.
pkt_filter_mode	A	Set packet filter match action.
pkt_filter_ports	A	Set up additional port filters for TCP and UDP packets.
pkt_filter_stats	A	Retrieve packet filter statistic counter values.
pktcnt	A	
pkteng_start	B	start packet engine tx usage: wl pkteng_start <xx:xx:xx:xx:xx:xx> <tx|txwithack> [(async)|sync]
pkteng_stats	B	packet engine stats; usage: wl pkteng_stats
pkteng_stop	B	stop packet engine; usage: wl pkteng_stop <tx|rx>
pktq_stats	A	Dumps packet queue log info for [C] common, [A] AMPDU, [N] NAR or [P] power save queues
plcphdr	A	"long" or "auto" or "debug"
pm2_sleep_ret_ext	A	Get/Set Dynamic Fast Return To Sleep params
pm_dur	A	
pm_mute_tx	A	Sets parameters for power save mode with muted transmission path. Usage:
pmac	A	usage: wl pmac <type> <addresses up to 16> -s <step size> -n <num> -b <bitmap> -w <write val> -
pmkid_info	A	Returns the pmkid table
povars	A	usage: wl down
powerindex	C	Set the transmit power for A band(0-63).
primary_key	A	Set or get index of primary key
probe_resp_info	A	Returns the 802.11 management frame probe response information
probresp_mac_filter	A	Set/Get MAC filter based Probe response mode.
promisc	A	0 - disable
protection_control	A	Get/Set protection mode control alg.(0=always off, 1=monitor local association, 2=monitor overl
proxd	A	0 : disable
proxd_bssid	A	Set/Get BSSID to be used in proximity detection frames
proxd_collect	A	collect the debugging informations of Proximity Detection
proxd_event_check	A	Listen and print Location Based Service events
proxd_find	B	Start Proximity Detection
proxd_mcastaddr	A	Set/Get Multicast MAC address of Proximity Detection Frames
proxd_monitor	A	Monitor detected peer status in proximity
proxd_params	A	Set/Get operational parameters for a method of Proximity Detection
proxd_payload	A	Get/Set payload content transferred between the proximity detected peers
proxd_report	A	Get/Set report distance results list
proxd_status	A	Get status of Proximity Detection
proxd_stop	B	Stop Proximity Detection
proxd_tune	A	Set/Get tune parameters for TOF method of Proximity Detection
pwr_percent	A	Get/Set power output percentage
pwrstats	A	Get power usage statistics
quiet	A	Usage: wl quiet <TBTTs until start>, <duration (in TUs)>, <offset (in TUs)>
radar	A	
radar_sc_status	A	Get/clear sc radar detection status
radar_status	A	Get radar detection status
radar_subband_status	A	Get/clear subband radar detection status
radarargs	A	Get/Set Radar parameters in
radarargs40	A	Get/Set Radar parameters for 40Mhz channel in
radarthrs	A	Set Radar threshold for both 20 & 40MHz & 80MHz BW:
radarthrs2	A	Set Radar threshold for both 20 & 40MHz & 80MHz BW:
radio	A	"on" or "off"
radioreg	D	Get/Set a radio register:
rand	A	Usage: wl rand
